Date,ULSP Pump price in pence/litre,ULSD Pump price in pence/litre,ULSP Duty rate in pence/litre,ULSD Duty rate in pence/litre,ULSP VAT percentage rate,ULSD VAT percentage rate
6/9/2003,74.59,76.77,45.82,45.82,17.5,17.5
6/16/2003,74.47,76.69,45.82,45.82,17.5,17.5
6/23/2003,74.42,76.62,45.82,45.82,17.5,17.5
6/30/2003,74.35,76.51,45.82,45.82,17.5,17.5
7/7/2003,74.28,76.46,45.82,45.82,17.5,17.5
7/14/2003,74.21,76.41,45.82,45.82,17.5,17.5
7/21/2003,75.07,76.9,45.82,45.82,17.5,17.5
7/28/2003,75.1,76.86,45.82,45.82,17.5,17.5
8/4/2003,75.12,76.81,45.82,45.82,17.5,17.5
8/11/2003,75.44,77.08,45.82,45.82,17.5,17.5
8/18/2003,75.81,77.44,45.82,45.82,17.5,17.5
8/26/2003,76.05,77.68,45.82,45.82,17.5,17.5
9/1/2003,76.13,77.59,45.82,45.82,17.5,17.5
9/8/2003,76.23,77.67,45.82,45.82,17.5,17.5
9/15/2003,76.2,77.63,45.82,45.82,17.5,17.5
9/22/2003,76.15,77.55,45.82,45.82,17.5,17.5
9/29/2003,76.08,77.53,45.82,45.82,17.5,17.5
10/6/2003,76.43,77.66,47.1,47.1,17.5,17.5
10/13/2003,75.9,77.43,47.1,47.1,17.5,17.5
10/20/2003,76.05,77.54,47.1,47.1,17.5,17.5
10/27/2003,76,77.51,47.1,47.1,17.5,17.5
11/3/2003,76,77.52,47.1,47.1,17.5,17.5
11/10/2003,75.94,77.47,47.1,47.1,17.5,17.5
11/17/2003,75.93,77.52,47.1,47.1,17.5,17.5
11/24/2003,76.02,77.67,47.1,47.1,17.5,17.5
12/1/2003,76,77.66,47.1,47.1,17.5,17.5
12/8/2003,75.97,77.63,47.1,47.1,17.5,17.5
12/15/2003,75.96,77.62,47.1,47.1,17.5,17.5
12/22/2003,75.92,77.61,47.1,47.1,17.5,17.5
12/29/2003,75.94,77.6,47.1,47.1,17.5,17.5
1/5/2004,75.88,77.54,47.1,47.1,17.5,17.5
1/12/2004,75.9,77.54,47.1,47.1,17.5,17.5
1/19/2004,76.36,78.06,47.1,47.1,17.5,17.5
1/26/2004,76.44,78.08,47.1,47.1,17.5,17.5
2/2/2004,76.48,78.13,47.1,47.1,17.5,17.5
2/9/2004,76.5,77.98,47.1,47.1,17.5,17.5
2/16/2004,76.44,78,47.1,47.1,17.5,17.5
